Selector,Model,Accuracy,Precision,Recall,F1 Score,AUC,Selected Features,Tuned,Tuning Info
PCA,LogReg,0.8260869565217391,0.8645833333333334,0.8137254901960784,0.8383838383838383,0.9104495456719273,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__C': np.float64(0.5253775121546688), 'model__penalty': 'l2', 'model__solver': 'sag'}, 'best_score': np.float64(0.8964518225972623)}"
PCA,DecTree,0.7989130434782609,0.8350515463917526,0.7941176470588235,0.8140703517587939,0.8463055954088952,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 8, 'model__min_samples_split': 7}, 'best_score': np.float64(0.8335364846522428)}"
PCA,RandForest,0.842391304347826,0.8543689320388349,0.8627450980392157,0.8585365853658536,0.9172644667623147,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 20}, 'best_score': np.float64(0.8899361062807726)}"
PCA,SVM,0.8369565217391305,0.86,0.8431372549019608,0.8514851485148515,0.9159493065518891,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__C': np.float64(3.3168110019528982), 'model__gamma': 'scale', 'model__kernel': 'linear'}, 'best_score': np.float64(0.8969664459550231)}"
PCA,KNN,0.8586956521739131,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9145145863223338,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__n_neighbors': 13, 'model__p': 1, 'model__weights': 'distance'}, 'best_score': np.float64(0.88753934984552)}"
PCA,XGBoost,0.8532608695652174,0.8865979381443299,0.8431372549019608,0.864321608040201,0.9181611669057868,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__subsample': 1.0, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}, 'best_score': np.float64(0.8908382863230857)}"
PCA,Voting,0.8641304347826086,0.8737864077669902,0.8823529411764706,0.8780487804878049,0.9208512673362027,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'best_params': {'model__weights': [1, 1, 1, 1, 1, 1]}, 'best_score': np.float64(0.8915986845731404)}"
PCA,Stacking,0.8532608695652174,0.8712871287128713,0.8627450980392157,0.8669950738916257,0.9230033476805356,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",False,No tuning performed
PCA,WeightedVoting,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.9212099473935915,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",False,No tuning performed
PCA,TieredStacking,0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.9238402678144427,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",False,No tuning performed
PCA,AdvancedStacking,0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.9231229076996652,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",False,No tuning performed
