Selector,Model,Accuracy,Precision,Recall,F1 Score,AUC,Selected Features,Tuned,Tuning Info
ReliefF,Default Voting,0.8586956521739131,0.8584905660377359,0.8921568627450981,0.875,0.9175035868005739,"['exang', 'cp', 'ca', 'thal', 'oldpeak', 'src_hungarian', 'chol', 'src_cleveland', 'slope', 'src_switzerland', 'src_va', 'thalach', 'age', 'sex', 'restecg', 'trestbps', 'fbs']",False,Default base learners
ReliefF,Default Stacking,0.8315217391304348,0.8446601941747572,0.8529411764705882,0.848780487804878,0.9140363462458154,"['exang', 'cp', 'ca', 'thal', 'oldpeak', 'src_hungarian', 'chol', 'src_cleveland', 'slope', 'src_switzerland', 'src_va', 'thalach', 'age', 'sex', 'restecg', 'trestbps', 'fbs']",False,Default base learners
ReliefF,Optimized Stacking,0.842391304347826,0.8476190476190476,0.8725490196078431,0.8599033816425121,0.9203730272596844,"['exang', 'cp', 'ca', 'thal', 'oldpeak', 'src_hungarian', 'chol', 'src_cleveland', 'slope', 'src_switzerland', 'src_va', 'thalach', 'age', 'sex', 'restecg', 'trestbps', 'fbs']",True,"{'model__final_estimator__learning_rate': 0.01, 'model__final_estimator__max_depth': 2, 'model__final_estimator__n_estimators': 100, 'model__passthrough': True}"
PCA,LogReg,0.8260869565217391,0.8645833333333334,0.8137254901960784,0.8383838383838383,0.9106886657101865,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__C': np.float64(0.5645041271999772), 'model__penalty': 'l2', 'model__solver': 'sag'}"
PCA,DecTree,0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8845050215208035,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 11}"
PCA,RandForest,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.9190578670492586,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}"
PCA,SVM,0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9265303682448589,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__C': np.float64(0.30584494295802445), 'model__gamma': 'scale', 'model__kernel': 'rbf'}"
PCA,KNN,0.8532608695652174,0.8865979381443299,0.8431372549019608,0.864321608040201,0.9158895265423241,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__n_neighbors': 14, 'model__p': 1, 'model__weights': 'distance'}"
PCA,XGBoost,0.8478260869565217,0.87,0.8529411764705882,0.8613861386138614,0.916547106647537,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.9}"
PCA,Default Voting,0.8532608695652174,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9147537063605929,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",False,Default base learners
PCA,Default Stacking,0.8586956521739131,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.921090387374462,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",False,Default base learners
PCA,Optimized Stacking,0.8478260869565217,0.8425925925925926,0.8921568627450981,0.8666666666666667,0.920492587278814,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10']",True,"{'model__final_estimator__learning_rate': 0.05, 'model__final_estimator__max_depth': 2, 'model__final_estimator__n_estimators': 50, 'model__passthrough': False}"
